Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,BARTHOLOMEW,5,,,0,,SHEEP,"SHEEP, INCL LAMBS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,92000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,BARTHOLOMEW,5,,,0,,SOYBEANS,"SOYBEANS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,46382000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,BARTHOLOMEW,5,,,0,,TOMATOES,"TOMATOES, UNDER PROTECTION - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,7052,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,BARTHOLOMEW,5,,,0,,TRANSPLANTS,"TRANSPLANTS, COMMERCIAL, VEGETABLE & STRAWBERRY - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,4968,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,BOONE,11,,,0,,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,3053000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,BOONE,11,,,0,,CORN,"CORN - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,118529000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,BOONE,11,,,0,,CUT FLOWERS & CUT CULTIVATED GREENS,"CUT FLOWERS & CUT CULTIVATED GREENS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,19340,7.5
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,BOONE,11,,,0,,EQUINE,"EQUINE, (HORSES & PONIES) & (MULES & BURROS & DONKEYS) - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,252000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,BOONE,11,,,0,,"FIELD CROPS, OTHER","FIELD CROPS, OTHER, INCL HAY - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,522000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,BOONE,11,,,0,,GOATS,"GOATS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,93000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,BOONE,11,,,0,,GOATS,"GOATS, MEAT & OTHER - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,85000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,BOONE,11,,,0,,GOATS,"GOATS, MILK - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,8000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,BOONE,11,,,0,,GRAIN,"GRAIN - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,209312000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,BOONE,11,,,0,,HOGS,"HOGS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,7420000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,BOONE,11,,,0,,HONEY,"HONEY - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,107000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,BOONE,11,,,0,,MILK,"MILK - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,1130000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,BOONE,11,,,0,,SHEEP,"SHEEP, INCL LAMBS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,70000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,BOONE,11,,,0,,SOYBEANS,"SOYBEANS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,86185000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,CLINTON,23,,,0,,CORN,"CORN - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,121966000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,CLINTON,23,,,0,,EQUINE,"EQUINE, (HORSES & PONIES) & (MULES & BURROS & DONKEYS) - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,132000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,CLINTON,23,,,0,,EQUINE,"EQUINE, HORSES & PONIES - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,132000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,CLINTON,23,,,0,,"FIELD CROPS, OTHER","FIELD CROPS, OTHER, INCL HAY - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,280000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,CLINTON,23,,,0,,"FLOWERING PLANTS, POTTED","FLOWERING PLANTS, POTTED, INDOOR USE - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,42130,0.7
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,CLINTON,23,,,0,,FOOD FISH,"FOOD FISH, (EXCL CATFISH & TROUT) - SALES & DISTRIBUTION, MEASURED IN $",TOTAL,NOT SPECIFIED,1700000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,CLINTON,23,,,0,,GOATS,"GOATS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,10000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,CLINTON,23,,,0,,GOATS,"GOATS, MEAT & OTHER - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,10000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,CLINTON,23,,,0,,GRAIN,"GRAIN - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,203989000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,CLINTON,23,,,0,,HOGS,"HOGS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,50363000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,CLINTON,23,,,0,,HONEY,"HONEY - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,16000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,CLINTON,23,,,0,,SHEEP,"SHEEP, INCL LAMBS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,113000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,CLINTON,23,,,0,,SOYBEANS,"SOYBEANS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,81021000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,CLINTON,23,,,0,,TOMATOES,"TOMATOES, UNDER PROTECTION - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,67800,45.9
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,CLINTON,23,,,0,,WHEAT,"WHEAT - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,1001000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,DECATUR,31,,,0,,CORN,"CORN - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,85353000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,DECATUR,31,,,0,,EQUINE,"EQUINE, (HORSES & PONIES) & (MULES & BURROS & DONKEYS) - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,56000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,DECATUR,31,,,0,,"FIELD CROPS, OTHER","FIELD CROPS, OTHER, INCL HAY - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,761000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,DECATUR,31,,,0,,GOATS,"GOATS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,55000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,DECATUR,31,,,0,,GOATS,"GOATS, MILK - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,48000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,DECATUR,31,,,0,,GRAIN,"GRAIN - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,152188000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,DECATUR,31,,,0,,HOGS,"HOGS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,69163000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,DECATUR,31,,,0,,HONEY,"HONEY - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,18000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,DECATUR,31,,,0,,SHEEP,"SHEEP, INCL LAMBS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,86000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,DECATUR,31,,,0,,SOYBEANS,"SOYBEANS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,62934000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,GRANT,53,,,0,,CORN,"CORN - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,74826000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,GRANT,53,,,0,,"FIELD CROPS, OTHER","FIELD CROPS, OTHER, INCL HAY - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,414000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,GRANT,53,,,0,,GOATS,"GOATS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,19000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,GRANT,53,,,0,,GOATS,"GOATS, MEAT & OTHER - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,10000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,GRANT,53,,,0,,GOATS,"GOATS, MILK - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,9000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,GRANT,53,,,0,,GRAIN,"GRAIN - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,140672000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,GRANT,53,,,0,,HOGS,"HOGS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,13144000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,GRANT,53,,,0,,HONEY,"HONEY - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,2000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,GRANT,53,,,0,,SHEEP,"SHEEP, INCL LAMBS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,79000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,GRANT,53,,,0,,SOYBEANS,"SOYBEANS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,65045000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HAMILTON,57,,,0,,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,300000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HAMILTON,57,,,0,,CORN,"CORN - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,64115000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HAMILTON,57,,,0,,CUT FLOWERS & CUT CULTIVATED GREENS,"CUT FLOWERS & CUT CULTIVATED GREENS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,139635,7.5
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HAMILTON,57,,,0,,EQUINE,"EQUINE, (HORSES & PONIES) & (MULES & BURROS & DONKEYS) - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,1415000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HAMILTON,57,,,0,,EQUINE,"EQUINE, HORSES & PONIES - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,1415000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HAMILTON,57,,,0,,EQUINE,"EQUINE, PRODUCTS ONLY - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,40000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HAMILTON,57,,,0,,"FIELD CROPS, OTHER","FIELD CROPS, OTHER, INCL HAY - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,298000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HAMILTON,57,,,0,,FOLIAGE PLANTS,"FOLIAGE PLANTS, INDOOR USE - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,6250,21.9
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HAMILTON,57,,,0,,GOATS,"GOATS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,25000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HAMILTON,57,,,0,,GOATS,"GOATS, ANGORA - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,1000,0.1
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HAMILTON,57,,,0,,GOATS,"GOATS, MEAT & OTHER - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,14000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HAMILTON,57,,,0,,GOATS,"GOATS, MILK - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,10000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HAMILTON,57,,,0,,GRAIN,"GRAIN - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,108321000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HAMILTON,57,,,0,,HOGS,"HOGS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,258000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HAMILTON,57,,,0,,HONEY,"HONEY - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,37000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HAMILTON,57,,,0,,SHEEP,"SHEEP, INCL LAMBS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,106000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HAMILTON,57,,,0,,SOYBEANS,"SOYBEANS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,43640000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HAMILTON,57,,,0,,TOMATOES,"TOMATOES, UNDER PROTECTION - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,33358,45.9
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HAMILTON,57,,,0,,WHEAT,"WHEAT - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,566000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HAMILTON,57,,,0,,WOOL,"WOOL - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,5000,0.1
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HANCOCK,59,,,0,,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,2526000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HANCOCK,59,,,0,,CORN,"CORN - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,83155000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HANCOCK,59,,,0,,CUT FLOWERS & CUT CULTIVATED GREENS,"CUT FLOWERS & CUT CULTIVATED GREENS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,36427,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HANCOCK,59,,,0,,EQUINE,"EQUINE, (HORSES & PONIES) & (MULES & BURROS & DONKEYS) - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,166000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HANCOCK,59,,,0,,EQUINE,"EQUINE, HORSES & PONIES - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,166000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HANCOCK,59,,,0,,"FIELD CROPS, OTHER","FIELD CROPS, OTHER, INCL HAY - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,533000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HANCOCK,59,,,0,,GOATS,"GOATS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,12000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HANCOCK,59,,,0,,GOATS,"GOATS, MEAT & OTHER - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,11000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HANCOCK,59,,,0,,GRAIN,"GRAIN - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,156651000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HANCOCK,59,,,0,,HOGS,"HOGS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,43659000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HANCOCK,59,,,0,,HONEY,"HONEY - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,8000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HANCOCK,59,,,0,,SHEEP,"SHEEP, INCL LAMBS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,167000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HANCOCK,59,,,0,,SOYBEANS,"SOYBEANS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,72046000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HENDRICKS,63,,,0,,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,948000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HENDRICKS,63,,,0,,CORN,"CORN - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,62226000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HENDRICKS,63,,,0,,CUT FLOWERS & CUT CULTIVATED GREENS,"CUT FLOWERS & CUT CULTIVATED GREENS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,80360,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HENDRICKS,63,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,1000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HENDRICKS,63,,,0,,EQUINE,"EQUINE, PRODUCTS ONLY - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,14000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HENDRICKS,63,,,0,,"FIELD CROPS, OTHER","FIELD CROPS, OTHER, INCL HAY - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,1054000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HENDRICKS,63,,,0,,GOATS,"GOATS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,86000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HENDRICKS,63,,,0,,GOATS,"GOATS, MEAT & OTHER - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,30000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HENDRICKS,63,,,0,,GOATS,"GOATS, MILK - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,56000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HENDRICKS,63,,,0,,GRAIN,"GRAIN - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,105145000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HENDRICKS,63,,,0,,HOGS,"HOGS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,9000000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HENDRICKS,63,,,0,,HONEY,"HONEY - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,28000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HENDRICKS,63,,,0,,PROPAGATIVE MATERIAL,"PROPAGATIVE MATERIAL - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,870,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HENDRICKS,63,,,0,,RABBITS,"RABBITS, LIVE - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,2000,0.1
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HENDRICKS,63,,,0,,SHEEP,"SHEEP, INCL LAMBS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,125000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HENDRICKS,63,,,0,,SOYBEANS,"SOYBEANS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,42555000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HENDRICKS,63,,,0,,TOMATOES,"TOMATOES, UNDER PROTECTION - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,35931,45.9
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HENDRICKS,63,,,0,,WHEAT,"WHEAT - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,364000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HOWARD,67,,,0,,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,869000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HOWARD,67,,,0,,CORN,"CORN - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,75152000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HOWARD,67,,,0,,CUT FLOWERS & CUT CULTIVATED GREENS,"CUT FLOWERS & CUT CULTIVATED GREENS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,32400,7.5
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HOWARD,67,,,0,,EQUINE,"EQUINE, (HORSES & PONIES) & (MULES & BURROS & DONKEYS) - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,64000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HOWARD,67,,,0,,EQUINE,"EQUINE, HORSES & PONIES - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,64000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HOWARD,67,,,0,,EQUINE,"EQUINE, PRODUCTS ONLY - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,9000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HOWARD,67,,,0,,"FIELD CROPS, OTHER","FIELD CROPS, OTHER, INCL HAY - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,373000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HOWARD,67,,,0,,GRAIN,"GRAIN - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,125202000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HOWARD,67,,,0,,GRAIN,"GRAIN, OTHER - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,30000,(L)
CENSUS,2022,YEAR,,COUNTY,INDIANA,18,CENTRAL,50,HOWARD,67,,,0,,HOGS,"HOGS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,9315000,(L)
